"ABMD, Акции"
"DXCM, Акции"
"SAGE, Акции"
"HII, Акции"
"TSM, Акции"
"TTD, Акции"
"DOCU, Акции"
"FTNT, Акции"
"NTNX, Акции"
"TWLO, Акции"
"LYFT, Акции"
"ZM, Акции"
"PINS, Акции"
"UBER, Акции"
"BYND, Акции"
"ZYNE, Акции"
"FSLY, Акции"
"SRPT, Акции"
"SEDG, Акции"
"TER, Акции"
"W, Акции"
"DOW, Акции"
"AYX, Акции"
"PBF, Акции"
"PFGC, Акции"
"D, Акции"
"ANET, Акции"
"LTHM, Акции"
"BJRI, Акции"
"HA, Акции"
"CRWD, Акции"
"ANAB, Акции"
"ZS, Акции"
"NTES, Акции"
"SNY, Акции"
"RRGB, Акции"
"TWOU, Акции"
"MSTR, Акции"
"VALE, Акции"
"VREX, Акции"
"MDB, Акции"
"GOSS, Акции"
"HEAR, Акции"
"SMAR, Акции"
"ACAD, Акции"
"ARWR, Акции"
"EVH, Акции"
"Z, Акции"
"NET, Акции"
"PTON, Акции"
"DDOG, Акции"
"XRX, Акции"
"ZGNX, Акции"
"AERI, Акции"
"ATRA, Акции"
"HRTX, Акции"
"PPC, Акции"
"ZYXI, Акции"
"EHTH, Акции"
"MRNA, Акции"
"GTHX, Акции"
"IOVA, Акции"
"UPWK, Акции"
"CHEF, Акции"
"OII, Акции"
"PUMP, Акции"
"REGI, Акции"
"RDS.A, Акции"
"SPCE, Акции"
"VIAC, Акции"
"OVV, Акции"
"ENPH, Акции"
"NXPI, Акции"
"TDOC, Акции"
"CHX, Акции"
"PLTR, Акции"
"DKNG, Акции"
"APA, Акции"
"COIN, Акции"
"STX, Акции"
"HOOD, Акции"
